term,doc_freq,total,source_fields,gene_ids
y1,6,25,EXACT locus; NAME (gene symbol),y1 (tpzm:0024753)
ms1,6,24,EXACT locus; EXACT locus_synonym; NAME (gene symbol),mets1 (tpzm:0016241); ms1 (tpzm:0016751)
hexose transporter,6,24,EXACT locus_synonym; RELATED locus_synonym,LOC100170248 (tpzm:0002780); Zm00001d008565 (tpzm:0005531); tst1 (tpzm:0023300); tst3 (tpzm:0023302)
rth1,6,23,EXACT jschnable_name; EXACT locus; NAME (gene symbol),rth1 (tpzm:0021568)
na1,6,19,EXACT locus; NAME (gene symbol),na1 (tpzm:0017153)
nadh dehydrogenase,6,16,RELATED locus_synonym,GRMZM2G041418 (tpzm:0000526); si618008g06 (tpzm:0022215)
fad,6,16,EXACT locus_synonym,Zm00001d018652 (tpzm:0005908); fad1 (tpzm:0013475)
ramosa1,6,13,EXACT description; EXACT locus_name; EXACT locus_synonym,ra1 (tpzm:0020930)
zmyuc1,6,12,EXACT locus_synonym,de18 (tpzm:0012656); yuc4 (tpzm:0024803)
ub3,6,11,EXACT locus; NAME (gene symbol),ub3 (tpzm:0023370)
tsh4,6,11,EXACT locus; NAME (gene symbol),tsh4 (tpzm:0023299)
nad4,6,11,EXACT locus; NAME (gene symbol),nad4 (tpzm:0017342)
glutaredoxin,6,11,EXACT locus_synonym,wakl54 (tpzm:0024482)
aos,6,11,EXACT locus_synonym,cyp78 (tpzm:0012564)
leaf blight resistance,6,10,EXACT locus_synonym,ht1 (tpzm:0015189)
indeterminate spikelet1,6,10,EXACT locus_synonym,ts6 (tpzm:0023295)
erecta,6,10,EXACT locus_synonym,er2 (tpzm:0013173)
h2a,6,9,EXACT locus_synonym,his2a1 (tpzm:0015019)
liguleless2,6,8,EXACT description; EXACT locus_name; EXACT locus_synonym,lg2 (tpzm:0015754)
fasciated ear2,6,7,EXACT description; EXACT locus_name; EXACT locus_synonym,fea2 (tpzm:0013563)
tasselseed4,6,6,EXACT description,ts4 (tpzm:0023293)
dwarf plant8,6,6,EXACT description; EXACT locus_name; EXACT locus_synonym,d8 (tpzm:0012604)
drought-inducible,6,6,EXACT locus_synonym,dhn3 (tpzm:0012729)
histone h2a,5,103,RELATED locus_synonym,GRMZM2G050833 (tpzm:0000574); GRMZM2G109448 (tpzm:0000797); LOC100216638 (tpzm:0002954); LOC100273753 (tpzm:0003071); LOC100501984 (tpzm:0003863); LOC103504712 (tpzm:0003887); Zm00001d021706 (tpzm:0006034); Zm00001eb004820 (tpzm:0007327); Zm00001eb025450 (tpzm:0007392); Zm00001eb114760 (tpzm:0007622); Zm00001eb197330 (tpzm:0007841); Zm00001eb239220 (tpzm:0007956); Zm00001eb266530 (tpzm:0008022); Zm00001eb297790 (tpzm:0008101); Zm00001eb341920 (tpzm:0008204); Zm00001eb345480 (tpzm:0008210); Zm00001eb421810 (tpzm:0008416); ca5p20 (tpzm:0010060); ca5p21 (tpzm:0010061); ca5p22 (tpzm:0010062)
mop1,5,97,EXACT jschnable_name; EXACT locus; NAME (gene symbol),mop1 (tpzm:0016680)
